account_age_days,previous_orders,previous_returns,return_rate,previous_refund_count,previous_refund_amount,average_order_value,refund_to_order_ratio,orders_last_24h,returns_last_7d,returns_last_30d,refunds_last_30d,current_order_amount,current_return_amount,return_to_order_ratio,days_to_return,same_reason_count,unique_return_reasons,return_frequency,return_gap_days,high_value_return_flag,device_linked_accounts,address_linked_accounts,potentially_abusive,return_id,customer_id
17,2,0,0.0,0,0.0,1083.93,0.0,0,0,0,0,778.95,778.95,1.0,8,0,0,0.0,17,0,1,1,0,RET000099,CUST00105
99,4,0,0.0,0,0.0,11755.03,0.0,0,0,0,0,2897.92,2897.92,1.0,6,0,0,0.0,99,0,4,4,0,RET000100,CUST00109
223,13,7,0.5385,6,20257.38,6234.44,0.2499,0,0,0,0,1416.03,1416.03,1.0,6,1,5,0.9417,35,0,4,4,1,RET000101,CUST00109
117,6,1,0.1667,1,2897.92,9435.89,0.0512,0,0,1,1,8272.65,8272.65,1.0,11,0,1,0.2564,18,0,4,4,0,RET000102,CUST00109
126,7,3,0.4286,1,2897.92,8667.4,0.0478,0,1,3,1,4056.47,4056.47,1.0,8,0,3,0.7143,6,0,4,4,1,RET000103,CUST00109
246,14,8,0.5714,6,20257.38,5882.99,0.246,0,0,1,0,1314.02,1314.02,1.0,5,2,5,0.9756,23,0,4,4,1,RET000104,CUST00109
129,8,4,0.5,2,4220.5,7865.15,0.0671,0,1,4,2,2249.41,2249.41,1.0,3,1,4,0.9302,3,0,4,4,1,RET000105,CUST00109
307,16,9,0.5625,6,20257.38,5383.82,0.2352,0,0,0,0,2150.96,2150.96,1.0,6,2,5,0.8795,61,0,4,4,1,RET000106,CUST00109
322,17,10,0.5882,7,22408.34,5698.87,0.2313,0,0,1,1,10739.68,10739.68,1.0,13,2,5,0.9317,15,0,4,4,1,RET000107,CUST00109
175,11,5,0.4545,4,10526.38,6897.6,0.1387,1,0,0,0,9296.03,9296.03,1.0,11,1,4,0.8571,46,0,4,4,1,RET000108,CUST00109
188,12,6,0.5,5,16943.45,6635.98,0.2128,0,0,1,1,3758.15,3313.93,0.8818,12,0,4,0.9574,13,0,4,4,1,RET000109,CUST00109
120,7,2,0.2857,1,2897.92,8667.4,0.0478,0,1,2,1,1322.58,1322.58,1.0,12,0,2,0.5,3,0,4,4,1,RET000110,CUST00109
18,1,0,0.0,0,0.0,2970.41,0.0,0,0,0,0,2970.41,2970.41,1.0,14,0,0,0.0,18,0,1,1,0,RET000111,CUST00111
78,2,0,0.0,0,0.0,7138.86,0.0,0,0,0,0,10737.87,7543.66,0.7025,9,0,0,0.0,78,0,1,1,0,RET000112,CUST00112
19,4,1,0.25,0,0.0,13913.75,0.0,0,0,1,0,8669.6,8669.6,1.0,6,0,1,1.5789,8,0,4,1,1,RET000113,CUST00113
11,2,0,0.0,0,0.0,8293.89,0.0,0,0,0,0,1711.84,1711.84,1.0,9,0,0,0.0,11,0,4,1,0,RET000114,CUST00113
111,15,3,0.2,3,25408.9,8997.06,0.1883,0,0,0,0,2189.33,1997.38,0.9123,5,1,3,0.8108,78,0,4,1,1,RET000115,CUST00113
33,8,2,0.25,2,10381.44,9278.38,0.1399,1,0,2,2,15027.46,15027.46,1.0,11,0,2,1.8182,14,0,4,1,1,RET000116,CUST00113
27,2,0,0.0,0,0.0,8255.05,0.0,0,0,0,0,15301.54,15301.54,1.0,21,0,0,0.0,27,0,1,1,0,RET000117,CUST00119
376,5,0,0.0,0,0.0,2322.24,0.0,0,0,0,0,3327.75,3327.75,1.0,5,0,0,0.0,376,0,1,1,0,RET000118,CUST00122
119,7,0,0.0,0,0.0,3656.1,0.0,0,0,0,0,897.13,897.13,1.0,30,0,0,0.0,119,0,1,1,0,RET000119,CUST00123
37,2,0,0.0,0,0.0,8909.78,0.0,1,0,0,0,16710.21,9562.85,0.5723,29,0,0,0.0,37,0,1,1,0,RET000120,CUST00126
105,7,2,0.2857,1,9562.85,8245.27,0.1657,0,0,0,0,22297.19,22297.19,1.0,2,0,2,0.5714,37,1,1,1,1,RET000121,CUST00126
68,4,1,0.25,1,9562.85,8322.17,0.2873,0,0,0,1,935.64,935.64,1.0,11,0,1,0.4412,31,0,1,1,0,RET000122,CUST00126
151,10,3,0.3,2,31860.04,6072.97,0.5246,0,0,0,0,1021.2,1021.2,1.0,27,1,3,0.596,46,0,1,1,1,RET000123,CUST00126
196,4,2,0.5,2,2903.46,9974.6,0.0728,0,0,0,1,33248.3,33248.3,1.0,13,1,2,0.3061,35,1,1,1,1,RET000124,CUST00129
107,1,0,0.0,0,0.0,1950.97,0.0,0,0,0,0,1950.97,1950.97,1.0,9,0,0,0.0,107,0,1,1,0,RET000125,CUST00129
161,2,1,0.5,1,1950.97,1973.04,0.4944,0,0,0,0,1995.11,952.49,0.4774,30,0,1,0.1863,54,0,1,1,1,RET000126,CUST00129
510,4,0,0.0,0,0.0,17452.7,0.0,0,0,0,0,1448.09,1448.09,1.0,25,0,0,0.0,510,0,1,1,0,RET000127,CUST00130
121,11,5,0.4545,3,6522.44,3196.56,0.1855,0,1,1,1,185.74,160.29,0.863,8,0,4,1.2397,6,0,4,1,1,RET000128,CUST00131
115,10,4,0.4,3,6522.44,1915.45,0.3405,0,0,0,1,995.1,995.1,1.0,4,1,4,1.0435,36,0,4,1,1,RET000129,CUST00131
79,8,3,0.375,2,5084.69,2246.71,0.2829,1,0,3,2,1437.75,1437.75,1.0,1,0,3,1.1392,20,0,4,1,1,RET000130,CUST00131
59,6,2,0.3333,1,3048.11,2312.82,0.2197,0,1,2,1,2683.03,2683.03,1.0,3,0,2,1.0169,7,0,4,1,1,RET000131,CUST00131
52,5,1,0.2,0,0.0,2238.78,0.0,0,1,1,0,1928.17,1928.17,1.0,13,0,1,0.5769,1,0,4,1,0,RET000132,CUST00131
51,5,0,0.0,0,0.0,2238.78,0.0,0,0,0,0,3321.47,3048.11,0.9177,9,0,0,0.0,51,0,4,1,0,RET000133,CUST00131
136,12,6,0.5,5,7677.83,3011.46,0.2125,0,0,2,2,975.43,975.43,1.0,10,1,5,1.3235,15,0,4,1,1,RET000134,CUST00131
192,8,1,0.125,0,0.0,2111.63,0.0,0,0,0,0,2408.69,2408.69,1.0,7,1,1,0.1562,153,0,2,1,0,RET000135,CUST00132
39,2,0,0.0,0,0.0,3190.26,0.0,0,0,0,0,5599.13,5599.13,1.0,23,0,0,0.0,39,0,2,1,0,RET000136,CUST00132
323,6,0,0.0,0,0.0,1688.91,0.0,0,0,0,0,1216.0,951.33,0.7823,9,0,0,0.0,323,0,1,1,0,RET000137,CUST00133
35,10,3,0.3,0,0.0,2869.04,0.0,0,1,3,0,850.49,850.49,1.0,7,1,3,2.5714,2,0,1,1,0,RET000138,CUST00135
9,2,0,0.0,0,0.0,3455.4,0.0,0,0,0,0,4356.51,4109.22,0.9432,2,0,0,0.0,9,0,1,1,0,RET000139,CUST00135
16,3,1,0.3333,0,0.0,2670.16,0.0,1,1,1,0,1099.7,1099.7,1.0,1,0,1,1.875,7,0,1,1,0,RET000140,CUST00135
33,10,2,0.2,0,0.0,2869.04,0.0,0,0,2,0,4499.73,4499.73,1.0,5,0,2,1.8182,17,0,1,1,0,RET000141,CUST00135
33,9,0,0.0,0,0.0,2971.66,0.0,0,0,0,0,3472.76,3472.76,1.0,8,0,0,0.0,33,0,1,1,0,RET000142,CUST00136
71,14,2,0.1429,0,0.0,2743.17,0.0,0,1,1,0,861.61,861.61,1.0,12,0,1,0.8451,4,0,1,1,1,RET000143,CUST00136
67,14,1,0.0714,0,0.0,2743.17,0.0,0,0,0,0,2569.78,2569.78,1.0,11,1,1,0.4478,34,0,1,1,1,RET000144,CUST00136
108,17,6,0.3529,3,9597.14,6208.28,0.0909,1,0,4,3,1192.52,1192.52,1.0,9,2,4,1.6667,8,0,4,2,1,RET000145,CUST00137
96,11,3,0.2727,1,6921.64,5916.27,0.1064,1,0,2,1,1579.34,1579.34,1.0,9,0,2,0.9375,9,0,4,2,1,RET000146,CUST00137
110,17,8,0.4706,3,9597.14,6208.28,0.0909,0,2,6,3,3552.88,3552.88,1.0,11,1,4,2.1818,2,0,4,2,1,RET000147,CUST00137
98,11,4,0.3636,1,6921.64,5916.27,0.1064,0,1,3,1,2205.78,2205.78,1.0,9,0,3,1.2245,2,0,4,2,1,RET000148,CUST00137
100,14,5,0.3571,1,6921.64,7120.17,0.0694,2,2,4,1,1791.92,1096.16,0.6117,5,1,4,1.5,2,0,4,2,1,RET000149,CUST00137
111,17,9,0.5294,3,9597.14,6208.28,0.0909,0,3,7,3,29857.93,29857.93,1.0,13,2,4,2.4324,1,1,4,2,1,RET000150,CUST00137
77,4,1,0.25,0,0.0,5113.85,0.0,0,0,0,0,10473.67,6921.64,0.6609,9,0,1,0.3896,38,0,4,2,1,RET000151,CUST00137
39,3,0,0.0,0,0.0,3327.24,0.0,0,0,0,0,5740.81,5740.81,1.0,6,0,0,0.0,39,0,4,2,0,RET000152,CUST00137
108,17,6,0.3529,3,9597.14,6208.28,0.0909,1,0,4,3,605.41,271.98,0.4492,1,2,4,1.6667,8,0,4,2,1,RET000153,CUST00137
87,7,2,0.2857,1,6921.64,8182.8,0.1208,0,0,1,1,5568.31,5568.31,1.0,10,1,2,0.6897,10,0,4,2,1,RET000154,CUST00137
451,7,0,0.0,0,0.0,2407.22,0.0,0,0,0,0,2552.12,2552.12,1.0,26,0,0,0.0,451,0,1,1,0,RET000155,CUST00139
73,9,0,0.0,0,0.0,4934.45,0.0,1,0,0,0,3017.12,3017.12,1.0,13,0,0,0.0,73,0,1,1,0,RET000156,CUST00143
32,13,5,0.3846,2,11684.7,3190.52,0.2817,1,2,5,2,1394.62,1394.62,1.0,8,0,3,4.6875,2,0,3,1,0,RET000157,CUST00145
22,8,2,0.25,1,5376.74,2608.76,0.2576,0,0,2,1,3255.75,1602.79,0.4923,12,1,2,2.7273,11,0,3,1,1,RET000158,CUST00145
10,3,0,0.0,0,0.0,3001.29,0.0,0,0,0,0,3335.8,2813.1,0.8433,5,0,0,0.0,10,0,3,1,0,RET000159,CUST00145
30,12,4,0.3333,2,11684.7,3129.55,0.3111,0,1,4,2,2084.66,2084.66,1.0,14,0,2,4.0,4,0,3,1,1,RET000160,CUST00145
11,5,1,0.2,0,0.0,3527.27,0.0,2,1,1,0,5376.74,5376.74,1.0,1,0,1,2.7273,1,0,3,1,0,RET000161,CUST00145
26,11,3,0.2727,1,5376.74,2853.72,0.1713,0,1,3,1,6950.85,6950.85,1.0,4,1,2,3.4615,4,1,3,1,1,RET000162,CUST00145
42,17,6,0.3529,3,13079.32,3525.86,0.2182,1,0,4,3,13732.1,13732.1,1.0,3,0,4,4.2857,10,1,3,1,1,RET000163,CUST00145
42,17,6,0.3529,3,13079.32,3525.86,0.2182,1,0,4,3,1753.39,1753.39,1.0,1,1,4,4.2857,10,0,3,1,1,RET000164,CUST00145
45,5,0,0.0,0,0.0,1912.28,0.0,0,0,0,0,3447.03,2026.74,0.588,20,0,0,0.0,45,0,1,1,0,RET000165,CUST00149
28,10,3,0.3,0,0.0,5078.81,0.0,0,1,3,0,1499.38,1499.38,1.0,4,2,2,3.2143,2,0,5,1,1,RET000166,CUST00152
26,10,2,0.2,0,0.0,5078.81,0.0,0,2,2,0,15389.46,15389.46,1.0,8,1,2,2.3077,7,1,5,1,0,RET000167,CUST00152
35,10,4,0.4,3,17605.36,5078.81,0.3466,0,1,4,3,1371.4,1371.4,1.0,14,0,2,3.4286,7,0,5,1,0,RET000168,CUST00152
19,6,0,0.0,0,0.0,5218.7,0.0,1,0,0,0,1354.18,1354.18,1.0,2,0,0,0.0,19,0,5,1,0,RET000169,CUST00152
19,6,0,0.0,0,0.0,5218.7,0.0,1,0,0,0,1422.98,1095.39,0.7698,6,0,0,0.0,19,0,5,1,0,RET000170,CUST00152
