refund_id,order_id,customer_id,refund_date,refund_amount,refund_status
REF000061,ORD000522,CUST00080,2026-06-02,1245.74,Processed
REF000062,ORD000539,CUST00083,2026-05-13,10679.77,Processed
REF000063,ORD000541,CUST00083,2026-05-22,2294.58,Processed
REF000064,ORD000544,CUST00083,2026-08-03,1957.15,Processed
REF000065,ORD000559,CUST00086,2026-03-09,1743.74,Processed
REF000066,ORD000573,CUST00091,2026-01-23,2316.22,Processed
REF000067,ORD000580,CUST00091,2026-07-15,6725.69,Declined
REF000068,ORD000638,CUST00104,2026-07-31,1725.78,Processed
REF000069,ORD000639,CUST00104,2026-08-06,3498.01,Processed
REF000070,ORD000651,CUST00104,2026-07-12,13610.7,Processed
REF000071,ORD000652,CUST00104,2026-08-04,880.89,Processed
REF000072,ORD000654,CUST00105,2026-06-06,778.95,Processed
REF000073,ORD000672,CUST00109,2026-01-21,2897.92,Processed
REF000074,ORD000677,CUST00109,2026-02-15,4056.47,Processed
REF000075,ORD000679,CUST00109,2026-02-16,2249.41,Declined
REF000076,ORD000680,CUST00109,2026-08-15,2150.96,Processed
REF000077,ORD000682,CUST00109,2026-04-10,6417.07,Processed
REF000078,ORD000685,CUST00109,2026-04-16,3313.93,Processed
REF000079,ORD000687,CUST00109,2026-02-13,1322.58,Processed
REF000080,ORD000692,CUST00111,2026-02-25,2970.41,Processed
REF000081,ORD000699,CUST00112,2026-05-13,7543.66,Processed
REF000082,ORD000704,CUST00113,2026-06-10,8669.6,Processed
REF000083,ORD000706,CUST00113,2026-06-01,1711.84,Pending
REF000084,ORD000711,CUST00113,2026-09-06,1997.38,Pending
REF000085,ORD000717,CUST00113,2026-06-20,15027.46,Processed
REF000086,ORD000751,CUST00119,2026-05-20,15301.54,Processed
REF000087,ORD000768,CUST00122,2026-08-15,3327.75,Processed
REF000088,ORD000776,CUST00123,2026-08-10,897.13,Processed
REF000089,ORD000790,CUST00126,2026-06-03,9562.85,Processed
REF000090,ORD000795,CUST00126,2026-08-11,22297.19,Processed
REF000091,ORD000799,CUST00126,2026-09-24,1021.2,Pending
REF000092,ORD000813,CUST00129,2026-05-02,33248.3,Processed
REF000093,ORD000816,CUST00129,2026-01-29,1950.97,Processed
REF000094,ORD000817,CUST00129,2026-03-23,952.49,Processed
REF000095,ORD000823,CUST00130,2026-08-15,1372.93,Declined
REF000096,ORD000829,CUST00131,2026-08-27,160.29,Processed
REF000097,ORD000830,CUST00131,2026-08-21,995.1,Processed
REF000098,ORD000831,CUST00131,2026-07-16,1437.75,Processed
REF000099,ORD000832,CUST00131,2026-06-22,2036.58,Processed
REF000100,ORD000834,CUST00131,2026-06-13,3048.11,Pending
REF000101,ORD000835,CUST00131,2026-09-07,975.43,Pending
REF000102,ORD000837,CUST00132,2026-07-27,2015.74,Processed
REF000103,ORD000876,CUST00136,2026-09-17,861.61,Pending
REF000104,ORD000878,CUST00136,2026-09-09,2569.78,Pending
REF000105,ORD000883,CUST00137,2026-08-05,1192.52,Processed
REF000106,ORD000884,CUST00137,2026-07-18,1579.34,Processed
REF000107,ORD000885,CUST00137,2026-08-03,3552.88,Processed
REF000108,ORD000889,CUST00137,2026-07-20,1096.16,Processed
REF000109,ORD000890,CUST00137,2026-08-05,15904.89,Pending
REF000110,ORD000893,CUST00137,2026-07-03,6921.64,Processed
REF000111,ORD000899,CUST00137,2026-08-04,271.98,Processed
REF000112,ORD000909,CUST00139,2026-08-27,2552.12,Processed
REF000113,ORD000935,CUST00143,2026-08-14,3017.12,Processed
REF000114,ORD000947,CUST00145,2026-08-29,1394.62,Processed
REF000115,ORD000953,CUST00145,2026-08-03,5376.74,Processed
REF000116,ORD000954,CUST00145,2026-08-16,6307.96,Processed
REF000117,ORD000962,CUST00145,2026-09-07,1539.39,Pending
REF000118,ORD000983,CUST00149,2026-05-22,2026.74,Processed
REF000119,ORD000992,CUST00152,2026-09-16,1499.38,Processed
REF000120,ORD000994,CUST00152,2026-09-07,15389.46,Processed
REF000121,ORD000997,CUST00152,2026-09-07,1120.51,Processed
REF000122,ORD001000,CUST00152,2026-09-05,1095.39,Processed
REF000123,ORD001002,CUST00153,2026-09-09,2692.36,Pending
REF000124,ORD001037,CUST00158,2026-07-18,5372.81,Pending
REF000125,ORD001081,CUST00166,2026-03-12,1988.19,Processed
REF000126,ORD001082,CUST00166,2026-05-21,1430.85,Processed
REF000127,ORD001094,CUST00168,2026-08-30,2922.02,Processed
REF000128,ORD001124,CUST00175,2026-03-08,2312.03,Processed
REF000129,ORD001129,CUST00176,2026-08-10,328.76,Processed
REF000130,ORD001137,CUST00177,2026-07-24,17847.76,Processed
REF000131,ORD001138,CUST00177,2026-07-16,855.65,Pending
REF000132,ORD001140,CUST00177,2026-08-05,17523.73,Processed
REF000133,ORD001141,CUST00177,2026-07-16,15402.88,Processed
REF000134,ORD001165,CUST00180,2026-05-15,2575.71,Processed
REF000135,ORD001167,CUST00181,2026-08-15,508.12,Processed
REF000136,ORD001173,CUST00181,2026-07-28,2119.78,Processed
REF000137,ORD001179,CUST00181,2026-07-21,2054.35,Processed
REF000138,ORD001182,CUST00181,2026-08-06,759.91,Processed
REF000139,ORD001188,CUST00182,2026-09-21,1100.46,Processed
REF000140,ORD001191,CUST00183,2026-04-01,3905.2,Processed
REF000141,ORD001244,CUST00191,2026-07-14,2117.39,Processed
REF000142,ORD001251,CUST00193,2026-08-20,7164.2,Processed
REF000143,ORD001280,CUST00196,2026-09-20,1216.97,Pending
REF000144,ORD001308,CUST00200,2026-08-14,716.49,Processed
REF000145,ORD001311,CUST00200,2026-06-07,25740.3,Processed
REF000146,ORD001312,CUST00200,2026-09-05,3038.52,Pending
REF000147,ORD001333,CUST00204,2026-06-16,16502.71,Processed
REF000148,ORD001336,CUST00204,2026-06-20,664.87,Processed
REF000149,ORD001337,CUST00204,2026-07-09,1994.55,Pending
REF000150,ORD001364,CUST00208,2026-08-08,4624.24,Processed
REF000151,ORD001365,CUST00208,2026-06-03,13509.04,Pending
REF000152,ORD001379,CUST00209,2026-04-04,842.29,Processed
REF000153,ORD001406,CUST00215,2026-07-06,1768.49,Processed
REF000154,ORD001410,CUST00215,2026-08-26,27454.25,Pending
REF000155,ORD001413,CUST00216,2026-03-25,2555.01,Processed
REF000156,ORD001420,CUST00217,2026-07-17,478.72,Processed
REF000157,ORD001424,CUST00217,2026-09-21,4370.65,Processed
REF000158,ORD001452,CUST00223,2026-06-24,4411.05,Pending
REF000159,ORD001460,CUST00223,2026-08-23,27304.34,Processed
REF000160,ORD001483,CUST00227,2026-07-12,2505.51,Processed
REF000161,ORD001507,CUST00231,2026-07-13,7046.62,Pending
REF000162,ORD001517,CUST00234,2026-06-08,15531.2,Processed
REF000163,ORD001518,CUST00234,2026-08-05,4046.02,Processed
REF000164,ORD001519,CUST00234,2026-08-27,1662.42,Processed
REF000165,ORD001523,CUST00234,2026-08-17,1086.44,Processed
REF000166,ORD001532,CUST00234,2026-08-26,6507.81,Processed
REF000167,ORD001540,CUST00234,2026-09-12,2048.92,Pending
REF000168,ORD001555,CUST00237,2026-03-24,364.33,Declined
REF000169,ORD001562,CUST00238,2026-09-26,2445.14,Processed
REF000170,ORD001568,CUST00240,2026-07-21,1771.06,Processed
REF000171,ORD001570,CUST00240,2026-07-05,519.12,Processed
REF000172,ORD001575,CUST00241,2026-03-02,917.05,Declined
REF000173,ORD001589,CUST00243,2026-08-25,2063.2,Processed
REF000174,ORD001594,CUST00243,2026-09-15,20280.72,Pending
REF000175,ORD001600,CUST00244,2026-02-25,2957.51,Processed
REF000176,ORD001602,CUST00244,2026-02-21,1920.69,Processed
REF000177,ORD001638,CUST00250,2026-07-19,15472.85,Pending
REF000178,ORD001642,CUST00250,2026-07-04,556.31,Pending
REF000179,ORD001662,CUST00252,2026-08-20,2548.01,Processed
REF000180,ORD001697,CUST00259,2026-05-13,9870.62,Processed
REF000181,ORD001705,CUST00261,2026-06-07,1827.02,Processed
REF000182,ORD001716,CUST00262,2026-07-07,14365.96,Processed
REF000183,ORD001724,CUST00264,2026-07-10,1000.58,Processed
REF000184,ORD001732,CUST00264,2026-08-09,1628.17,Processed
REF000185,ORD001734,CUST00264,2026-06-16,888.45,Processed
REF000186,ORD001736,CUST00265,2026-08-29,3348.2,Processed
REF000187,ORD001747,CUST00267,2026-07-17,570.87,Processed
REF000188,ORD001780,CUST00272,2026-05-27,25369.78,Processed
REF000189,ORD001785,CUST00273,2026-08-02,2379.32,Processed
REF000190,ORD001794,CUST00274,2026-03-15,3494.15,Processed
REF000191,ORD001809,CUST00277,2026-05-08,2358.02,Pending
REF000192,ORD001833,CUST00281,2026-08-14,4810.02,Processed
REF000193,ORD001837,CUST00281,2026-08-23,901.2,Processed
REF000194,ORD001841,CUST00281,2026-07-09,20855.1,Processed
REF000195,ORD001843,CUST00281,2026-08-09,849.96,Processed
REF000196,ORD001846,CUST00281,2026-09-07,2036.07,Processed
REF000197,ORD001848,CUST00281,2026-06-26,3162.83,Processed
REF000198,ORD001856,CUST00282,2026-06-22,5176.47,Declined
REF000199,ORD001858,CUST00282,2026-06-25,530.59,Processed
REF000200,ORD001864,CUST00282,2026-08-21,5230.79,Processed
REF000201,ORD001866,CUST00282,2026-06-11,738.48,Declined
REF000202,ORD001867,CUST00282,2026-08-07,1134.52,Pending
REF000203,ORD001871,CUST00282,2026-06-19,409.02,Declined
REF000204,ORD001894,CUST00286,2026-01-17,8000.0,Processed
REF000205,ORD001906,CUST00286,2026-07-30,1254.28,Processed
REF000206,ORD001907,CUST00286,2026-03-12,207.87,Processed
REF000207,ORD001938,CUST00290,2026-07-19,817.8,Processed
REF000208,ORD001946,CUST00291,2026-07-04,5820.03,Processed
REF000209,ORD001951,CUST00292,2026-08-09,1008.27,Pending
REF000210,ORD001983,CUST00299,2026-08-18,15607.28,Processed
REF000211,ORD001997,CUST00299,2026-08-25,859.52,Processed
REF000212,ORD002004,CUST00300,2026-04-20,783.08,Processed
REF000213,ORD002009,CUST00302,2026-06-29,1987.1,Processed
REF000214,ORD002030,CUST00306,2026-06-04,1382.48,Processed
REF000215,ORD002033,CUST00306,2026-05-16,20631.75,Pending
REF000216,ORD002035,CUST00306,2026-08-24,5573.51,Pending
REF000217,ORD002040,CUST00306,2026-07-27,1548.11,Processed
REF000218,ORD002047,CUST00307,2026-09-07,981.67,Processed
REF000219,ORD002048,CUST00307,2026-09-08,531.31,Processed
REF000220,ORD002049,CUST00307,2026-08-10,357.98,Processed
REF000221,ORD002056,CUST00309,2026-06-20,27836.79,Processed
REF000222,ORD002096,CUST00317,2026-05-03,1819.4,Processed
REF000223,ORD002111,CUST00320,2026-06-12,5781.34,Processed
REF000224,ORD002118,CUST00321,2026-02-18,4148.4,Processed
REF000225,ORD002151,CUST00325,2026-06-10,1713.83,Pending
REF000226,ORD002153,CUST00325,2026-06-20,1508.61,Processed
REF000227,ORD002192,CUST00330,2026-03-28,18076.64,Processed
REF000228,ORD002211,CUST00331,2026-05-10,4349.96,Processed
REF000229,ORD002215,CUST00332,2026-08-28,1104.09,Processed
REF000230,ORD002217,CUST00333,2026-05-05,2078.69,Processed
REF000231,ORD002218,CUST00333,2026-07-10,1548.9,Processed
REF000232,ORD002219,CUST00333,2026-08-16,1613.05,Declined
REF000233,ORD002265,CUST00341,2026-03-03,3436.76,Processed
REF000234,ORD002266,CUST00341,2026-08-18,12218.0,Processed
REF000235,ORD002268,CUST00341,2026-01-30,7951.69,Processed
REF000236,ORD002276,CUST00342,2026-08-30,3623.91,Processed
REF000237,ORD002299,CUST00347,2026-02-25,3800.01,Processed
REF000238,ORD002307,CUST00349,2026-09-11,14245.45,Pending
REF000239,ORD002324,CUST00352,2026-07-06,20351.87,Processed
REF000240,ORD002326,CUST00352,2026-06-30,1400.57,Processed
REF000241,ORD002331,CUST00352,2026-07-24,1305.02,Processed
REF000242,ORD002338,CUST00352,2026-02-27,24549.28,Pending
REF000243,ORD002354,CUST00355,2026-08-24,18308.74,Processed
REF000244,ORD002358,CUST00355,2026-06-02,1978.61,Processed
REF000245,ORD002361,CUST00356,2026-08-29,21152.23,Processed
REF000246,ORD002393,CUST00361,2026-05-21,1811.5,Processed
REF000247,ORD002394,CUST00361,2026-09-15,943.11,Pending
REF000248,ORD002403,CUST00362,2026-07-05,2274.12,Processed
REF000249,ORD002413,CUST00364,2026-05-02,20352.37,Processed
REF000250,ORD002431,CUST00368,2026-05-24,1549.6,Processed
REF000251,ORD002440,CUST00370,2026-09-07,2986.59,Pending
REF000252,ORD002442,CUST00370,2026-06-19,407.42,Processed
REF000253,ORD002443,CUST00370,2026-07-29,20074.41,Processed
REF000254,ORD002447,CUST00370,2026-08-06,22038.6,Processed
REF000255,ORD002450,CUST00370,2026-07-06,1635.56,Processed
REF000256,ORD002454,CUST00370,2026-07-19,22228.26,Processed
REF000257,ORD002455,CUST00370,2026-06-18,2663.0,Processed
REF000258,ORD002456,CUST00370,2026-07-30,21427.16,Processed
REF000259,ORD002460,CUST00370,2026-08-19,2308.66,Processed
REF000260,ORD002464,CUST00370,2026-08-28,4000.0,Processed
REF000261,ORD002467,CUST00371,2026-08-16,1501.55,Processed
REF000262,ORD002469,CUST00371,2026-08-25,3651.9,Processed
REF000263,ORD002470,CUST00371,2026-08-18,6424.33,Declined
REF000264,ORD002471,CUST00371,2026-08-15,2673.52,Processed
REF000265,ORD002474,CUST00371,2026-08-10,1600.24,Pending
REF000266,ORD002489,CUST00373,2026-03-05,1419.97,Processed
REF000267,ORD002499,CUST00376,2026-07-27,36136.05,Processed
REF000268,ORD002503,CUST00376,2026-07-23,48105.09,Processed
REF000269,ORD002504,CUST00376,2026-07-30,2628.97,Processed
REF000270,ORD002521,CUST00379,2026-08-10,1649.52,Processed
REF000271,ORD002529,CUST00380,2026-07-16,1285.29,Processed
REF000272,ORD002536,CUST00380,2026-01-24,974.99,Processed
REF000273,ORD002537,CUST00380,2026-08-22,2916.99,Declined
REF000274,ORD002544,CUST00381,2026-07-30,1801.4,Processed
REF000275,ORD002545,CUST00382,2026-07-16,3409.25,Processed
REF000276,ORD002550,CUST00382,2026-07-24,2615.1,Processed
REF000277,ORD002551,CUST00382,2026-07-13,1687.9,Processed
REF000278,ORD002582,CUST00387,2026-03-21,2506.56,Processed
REF000279,ORD002583,CUST00387,2026-04-03,10200.76,Processed
REF000280,ORD002584,CUST00387,2026-06-20,1737.62,Declined
REF000281,ORD002588,CUST00387,2026-04-24,1126.16,Processed
REF000282,ORD002624,CUST00392,2026-09-08,796.53,Pending
REF000283,ORD002626,CUST00392,2026-08-22,2324.79,Processed
REF000284,ORD002627,CUST00392,2026-08-02,2448.52,Processed
REF000285,ORD002647,CUST00396,2026-03-13,514.66,Processed
REF000286,ORD002649,CUST00397,2026-03-10,544.19,Processed
REF000287,ORD002650,CUST00397,2026-03-22,2283.61,Processed
REF000288,ORD002653,CUST00397,2026-07-03,14710.3,Processed
REF000289,ORD002672,CUST00400,2026-06-25,3671.27,Processed
REF000290,ORD002687,CUST00402,2026-06-04,1874.74,Processed
REF000291,ORD002690,CUST00402,2026-05-14,1952.36,Pending
REF000292,ORD002692,CUST00402,2026-05-12,11146.23,Processed
REF000293,ORD002724,CUST00407,2026-06-10,2650.66,Processed
REF000294,ORD002738,CUST00409,2026-08-04,565.62,Processed
REF000295,ORD002747,CUST00411,2026-06-01,2231.01,Pending
REF000296,ORD002759,CUST00412,2026-07-17,1812.76,Pending
REF000297,ORD002776,CUST00415,2026-07-12,3599.38,Pending
REF000298,ORD002785,CUST00416,2026-06-14,1594.84,Processed
REF000299,ORD002788,CUST00416,2026-06-17,1495.94,Processed
REF000300,ORD002790,CUST00416,2026-08-05,772.07,Processed
REF000301,ORD002793,CUST00416,2026-08-17,1196.1,Processed
REF000302,ORD002795,CUST00416,2026-05-02,1290.21,Processed
REF000303,ORD002827,CUST00421,2026-04-10,13986.27,Processed
REF000304,ORD002852,CUST00425,2026-06-23,14835.88,Processed
REF000305,ORD002854,CUST00426,2026-07-04,21197.97,Pending
REF000306,ORD002856,CUST00426,2026-09-17,1222.79,Pending
REF000307,ORD002859,CUST00426,2026-06-23,1131.97,Pending
REF000308,ORD002892,CUST00432,2026-07-17,3455.84,Processed
REF000309,ORD002897,CUST00432,2026-07-29,2695.27,Processed
REF000310,ORD002898,CUST00432,2026-08-16,5616.21,Processed
REF000311,ORD002899,CUST00432,2026-06-24,3903.55,Processed
REF000312,ORD002904,CUST00433,2026-06-30,1916.66,Processed
REF000313,ORD002931,CUST00438,2026-05-27,11714.55,Processed
REF000314,ORD002933,CUST00438,2026-08-10,1475.13,Processed
REF000315,ORD002950,CUST00441,2026-09-14,1461.11,Pending
REF000316,ORD002955,CUST00442,2026-09-28,259.13,Processed
REF000317,ORD002964,CUST00443,2026-02-21,2586.08,Processed
REF000318,ORD002989,CUST00448,2026-08-30,27363.94,Processed
REF000319,ORD002991,CUST00448,2026-02-02,3405.09,Processed
REF000320,ORD002993,CUST00448,2026-04-08,1222.27,Processed
REF000321,ORD002996,CUST00448,2026-06-12,2772.62,Processed
REF000322,ORD002998,CUST00448,2026-06-19,1234.45,Processed
REF000323,ORD003002,CUST00448,2026-04-16,2708.29,Processed
REF000324,ORD003008,CUST00448,2026-08-10,8372.71,Processed
REF000325,ORD003010,CUST00449,2026-06-18,2265.71,Processed
REF000326,ORD003021,CUST00452,2026-07-17,7377.89,Processed
REF000327,ORD003029,CUST00453,2026-08-30,200.96,Processed
REF000328,ORD003033,CUST00453,2026-08-08,1421.16,Processed
REF000329,ORD003034,CUST00453,2026-08-02,1566.41,Processed
REF000330,ORD003038,CUST00453,2026-08-16,2064.88,Processed
REF000331,ORD003040,CUST00453,2026-09-02,1107.79,Processed
REF000332,ORD003048,CUST00454,2026-08-04,2842.41,Processed
REF000333,ORD003053,CUST00455,2026-03-28,2301.73,Processed
REF000334,ORD003076,CUST00457,2026-08-11,2400.08,Processed
REF000335,ORD003079,CUST00458,2026-09-07,17846.98,Processed
REF000336,ORD003109,CUST00464,2026-02-01,1703.69,Declined
REF000337,ORD003130,CUST00468,2026-07-25,3234.27,Pending
REF000338,ORD003132,CUST00468,2026-08-10,931.5,Pending
REF000339,ORD003136,CUST00469,2026-02-26,2957.62,Processed
REF000340,ORD003139,CUST00470,2026-08-02,5090.66,Processed
REF000341,ORD003140,CUST00470,2026-02-28,2220.93,Processed
REF000342,ORD003153,CUST00472,2026-04-26,21132.63,Processed
REF000343,ORD003164,CUST00473,2026-06-03,3811.35,Processed
REF000344,ORD003165,CUST00473,2026-08-18,1085.79,Pending
REF000345,ORD003204,CUST00481,2026-07-17,1222.0,Processed
REF000346,ORD003205,CUST00481,2026-07-21,26636.78,Processed
REF000347,ORD003209,CUST00481,2026-05-24,4420.87,Processed
REF000348,ORD003214,CUST00482,2026-06-05,5229.47,Processed
REF000349,ORD003215,CUST00482,2026-06-13,684.41,Processed
REF000350,ORD003225,CUST00483,2026-03-05,2565.93,Processed
REF000351,ORD003229,CUST00483,2026-03-07,2012.62,Processed
REF000352,ORD003240,CUST00485,2026-07-17,11091.14,Pending
REF000353,ORD003243,CUST00485,2026-07-20,2130.95,Processed
REF000354,ORD003245,CUST00485,2026-08-24,1557.15,Processed
REF000355,ORD003249,CUST00485,2026-08-08,1023.02,Declined
REF000356,ORD003260,CUST00487,2026-05-16,16677.9,Processed
REF000357,ORD003278,CUST00491,2026-08-29,12149.42,Pending
REF000358,ORD003290,CUST00493,2026-06-24,2873.18,Processed
REF000359,ORD003312,CUST00496,2026-09-07,11877.78,Pending
REF000360,ORD003336,CUST00501,2026-07-30,4007.5,Processed
REF000361,ORD003352,CUST00504,2026-08-21,1406.18,Processed
REF000362,ORD003357,CUST00504,2026-08-06,642.42,Processed
REF000363,ORD003360,CUST00504,2026-07-17,3633.68,Processed
REF000364,ORD003382,CUST00507,2026-05-30,1558.1,Processed
REF000365,ORD003422,CUST00514,2026-08-20,139.0,Processed
REF000366,ORD003449,CUST00519,2026-02-17,5365.11,Processed
REF000367,ORD003454,CUST00520,2026-04-25,12596.08,Processed
REF000368,ORD003458,CUST00520,2026-08-26,1514.3,Processed
REF000369,ORD003468,CUST00521,2026-08-09,29026.88,Processed
REF000370,ORD003472,CUST00521,2026-08-14,321.07,Processed
REF000371,ORD003474,CUST00521,2026-08-19,8811.31,Processed
REF000372,ORD003476,CUST00521,2026-09-11,588.9,Processed
REF000373,ORD003477,CUST00521,2026-08-06,9659.51,Processed
REF000374,ORD003511,CUST00527,2026-04-30,2529.99,Processed
REF000375,ORD003516,CUST00527,2026-06-16,12711.53,Pending
REF000376,ORD003562,CUST00536,2026-06-05,1003.18,Pending
REF000377,ORD003583,CUST00540,2026-09-30,542.54,Pending
REF000378,ORD003585,CUST00540,2026-07-16,446.03,Processed
REF000379,ORD003588,CUST00540,2026-08-09,3299.05,Processed
REF000380,ORD003604,CUST00544,2026-07-14,2789.14,Pending
REF000381,ORD003606,CUST00544,2026-06-05,4000.0,Processed
REF000382,ORD003608,CUST00544,2026-05-30,2794.0,Processed
REF000383,ORD003609,CUST00544,2026-06-03,502.94,Processed
REF000384,ORD003611,CUST00544,2026-04-02,1500.0,Processed
REF000385,ORD003612,CUST00544,2026-05-28,2070.67,Processed
REF000386,ORD003617,CUST00544,2026-08-07,731.01,Processed
REF000387,ORD003618,CUST00544,2026-06-16,1330.73,Processed
REF000388,ORD003621,CUST00544,2026-08-18,16207.39,Processed
REF000389,ORD003625,CUST00544,2026-01-18,14146.75,Processed
REF000390,ORD003628,CUST00545,2026-03-04,13079.31,Declined
REF000391,ORD003629,CUST00545,2026-04-04,28201.07,Processed
REF000392,ORD003630,CUST00545,2026-06-22,1092.45,Processed
REF000393,ORD003656,CUST00548,2026-08-31,2585.26,Processed
REF000394,ORD003679,CUST00553,2026-07-04,1386.66,Processed
REF000395,ORD003680,CUST00553,2026-07-18,4000.0,Processed
REF000396,ORD003700,CUST00555,2026-05-22,13476.4,Processed
REF000397,ORD003711,CUST00557,2026-06-19,3339.5,Processed
REF000398,ORD003714,CUST00557,2026-06-25,921.85,Processed
REF000399,ORD003715,CUST00557,2026-06-26,25153.37,Processed
REF000400,ORD003716,CUST00557,2026-06-23,10870.93,Processed
REF000401,ORD003721,CUST00557,2026-02-18,6000.0,Processed
REF000402,ORD003726,CUST00557,2026-03-28,1670.35,Processed
REF000403,ORD003728,CUST00557,2026-06-24,1651.76,Processed
REF000404,ORD003740,CUST00559,2026-04-05,2101.86,Processed
REF000405,ORD003743,CUST00559,2026-07-30,5163.61,Processed
REF000406,ORD003757,CUST00561,2026-08-05,3300.76,Processed
REF000407,ORD003777,CUST00566,2026-05-31,950.93,Processed
REF000408,ORD003819,CUST00573,2026-09-11,2995.29,Processed
REF000409,ORD003839,CUST00576,2026-09-07,712.52,Pending
REF000410,ORD003868,CUST00580,2026-08-30,13235.83,Declined
REF000411,ORD003870,CUST00580,2026-08-17,1111.11,Processed
REF000412,ORD003873,CUST00581,2026-06-27,2100.32,Declined
REF000413,ORD003879,CUST00582,2026-08-19,16150.86,Processed
REF000414,ORD003888,CUST00582,2026-09-16,2488.89,Processed
REF000415,ORD003893,CUST00582,2026-08-06,214.19,Processed
REF000416,ORD003898,CUST00584,2026-06-23,1923.63,Processed
REF000417,ORD003899,CUST00584,2026-06-27,3221.4,Pending
REF000418,ORD003900,CUST00584,2026-06-18,1672.08,Processed
REF000419,ORD003901,CUST00584,2026-06-16,1955.17,Processed
REF000420,ORD003921,CUST00587,2026-08-05,1888.86,Pending
REF000421,ORD003923,CUST00587,2026-07-21,1915.36,Pending
REF000422,ORD003924,CUST00587,2026-08-13,18447.71,Processed
REF000423,ORD003925,CUST00587,2026-07-11,16326.25,Processed
REF000424,ORD003929,CUST00587,2026-07-05,2593.08,Processed
