order_id,customer_id,order_date,order_amount,category,payment_method,delivery_status
ORD000037,CUST00007,2026-02-06,2761.56,Sports,UPI,Delivered
ORD000038,CUST00007,2026-04-25,11476.48,Electronics,COD,Delivered
ORD000039,CUST00007,2026-08-19,5839.75,Home & Kitchen,Debit Card,Delivered
ORD000040,CUST00007,2026-05-25,6787.6,Home & Kitchen,Credit Card,Delivered
ORD000041,CUST00007,2026-01-18,1276.18,Clothing,Wallet,Delivered
ORD000042,CUST00007,2026-02-03,2210.92,Clothing,Credit Card,Delivered
ORD000043,CUST00008,2026-05-23,431.85,Books,Net Banking,Delivered
ORD000044,CUST00008,2026-01-07,3563.29,Sports,COD,Delivered
ORD000045,CUST00008,2026-01-02,4458.31,Home & Kitchen,COD,Delivered
ORD000046,CUST00008,2026-08-15,1837.28,Sports,COD,Delivered
ORD000047,CUST00008,2026-02-19,25081.97,Electronics,UPI,Delivered
ORD000048,CUST00008,2026-08-04,2292.11,Sports,UPI,In Transit
ORD000049,CUST00009,2026-07-08,2529.4,Footwear,Net Banking,Delivered
ORD000050,CUST00009,2026-06-20,2011.62,Footwear,Credit Card,Delivered
ORD000051,CUST00009,2026-06-08,384.09,Books,COD,Delivered
ORD000052,CUST00009,2026-08-04,2432.51,Footwear,Debit Card,Delivered
ORD000053,CUST00009,2026-08-10,197.82,Books,Debit Card,Returned to Seller
ORD000054,CUST00009,2026-06-06,2268.83,Accessories,Debit Card,In Transit
ORD000055,CUST00010,2026-04-21,1770.99,Clothing,Net Banking,Cancelled
ORD000056,CUST00010,2026-05-22,847.6,Accessories,COD,Delivered
ORD000057,CUST00010,2026-07-16,878.22,Accessories,COD,Delivered
ORD000058,CUST00010,2026-06-14,731.57,Accessories,Credit Card,Delivered
ORD000059,CUST00011,2026-04-19,25747.11,Electronics,Wallet,Cancelled
ORD000060,CUST00011,2026-08-01,1822.29,Clothing,UPI,Delivered
ORD000061,CUST00011,2026-01-29,2590.34,Home & Kitchen,Credit Card,Delivered
ORD000062,CUST00011,2026-03-05,2269.31,Clothing,COD,Delivered
ORD000063,CUST00011,2026-03-25,949.48,Beauty,Credit Card,Delivered
ORD000064,CUST00011,2026-06-30,1601.69,Sports,Wallet,Delivered
ORD000065,CUST00012,2026-05-26,5002.15,Clothing,COD,Delivered
ORD000066,CUST00012,2026-05-01,1154.27,Beauty,UPI,Returned to Seller
ORD000067,CUST00012,2026-05-26,3603.87,Home & Kitchen,Credit Card,Cancelled
ORD000068,CUST00012,2026-08-26,2223.58,Sports,UPI,Delivered
ORD000069,CUST00012,2026-04-03,3386.5,Footwear,COD,Cancelled
ORD000070,CUST00012,2026-01-10,900.8,Accessories,Wallet,Delivered
ORD000071,CUST00012,2026-01-18,18308.29,Electronics,Wallet,Delivered
ORD000072,CUST00012,2026-07-18,2631.9,Accessories,Net Banking,Delivered
ORD000073,CUST00013,2026-02-13,3281.52,Footwear,Wallet,Delivered
ORD000074,CUST00013,2026-08-25,6620.6,Home & Kitchen,Wallet,Delivered
ORD000075,CUST00013,2026-02-22,2595.78,Home & Kitchen,Net Banking,Delivered
ORD000076,CUST00013,2026-03-20,2798.5,Sports,COD,Delivered
ORD000077,CUST00013,2026-07-19,13865.34,Electronics,Debit Card,Delivered
ORD000078,CUST00013,2026-05-05,18308.2,Electronics,Debit Card,Delivered
ORD000079,CUST00014,2026-07-19,850.24,Accessories,Credit Card,In Transit
ORD000080,CUST00014,2026-03-02,3844.58,Home & Kitchen,COD,Delivered
ORD000081,CUST00014,2026-08-31,3619.9,Sports,Debit Card,Delivered
ORD000082,CUST00014,2026-05-29,3967.75,Clothing,Credit Card,Delivered
ORD000083,CUST00014,2026-02-13,2220.29,Beauty,UPI,Delivered
ORD000084,CUST00014,2026-03-10,1337.7,Home & Kitchen,UPI,Delivered
ORD000085,CUST00014,2026-01-30,1986.47,Sports,Credit Card,Delivered
ORD000086,CUST00014,2026-08-28,1875.79,Beauty,Wallet,In Transit
ORD000087,CUST00015,2026-06-08,1566.72,Sports,Net Banking,Delivered
ORD000088,CUST00015,2026-04-01,2348.82,Footwear,UPI,Delivered
ORD000089,CUST00015,2026-08-11,5001.29,Home & Kitchen,COD,Delivered
ORD000090,CUST00015,2026-05-18,2739.47,Footwear,UPI,Delivered
ORD000091,CUST00015,2026-03-16,1337.27,Clothing,Credit Card,Delivered
ORD000092,CUST00015,2026-05-03,1885.23,Beauty,Debit Card,Delivered
ORD000093,CUST00015,2026-05-18,3580.77,Footwear,Wallet,Delivered
ORD000094,CUST00016,2026-08-14,2545.37,Sports,Debit Card,Delivered
ORD000095,CUST00016,2026-06-04,2350.46,Footwear,Debit Card,Delivered
ORD000096,CUST00016,2026-07-23,4104.45,Sports,UPI,Delivered
ORD000097,CUST00016,2026-07-07,2095.37,Accessories,Credit Card,Cancelled
ORD000098,CUST00016,2026-06-21,5945.5,Electronics,Wallet,Delivered
ORD000099,CUST00017,2026-03-12,2536.18,Home & Kitchen,COD,In Transit
ORD000100,CUST00017,2026-07-25,741.41,Accessories,Net Banking,Delivered
ORD000101,CUST00017,2026-08-29,784.46,Accessories,COD,Delivered
ORD000102,CUST00017,2026-06-06,2026.3,Clothing,Debit Card,Delivered
ORD000103,CUST00017,2026-03-23,3998.48,Home & Kitchen,COD,Delivered
ORD000104,CUST00017,2026-07-14,20840.98,Electronics,COD,Delivered
ORD000105,CUST00017,2026-04-02,1344.51,Accessories,COD,Delivered
ORD000106,CUST00017,2026-02-24,8237.75,Home & Kitchen,UPI,Delivered
ORD000107,CUST00018,2026-07-12,2329.14,Beauty,Credit Card,Delivered
ORD000108,CUST00018,2026-08-15,4897.44,Sports,UPI,Delivered
ORD000109,CUST00018,2026-07-03,205.26,Books,COD,Delivered
ORD000110,CUST00019,2026-08-07,2320.62,Home & Kitchen,UPI,Delivered
ORD000111,CUST00019,2026-05-15,3897.13,Sports,Debit Card,Delivered
ORD000112,CUST00019,2026-08-16,257.56,Books,Credit Card,Delivered
ORD000113,CUST00019,2026-06-19,877.9,Books,Debit Card,Cancelled
ORD000114,CUST00019,2026-05-11,1680.61,Home & Kitchen,COD,Returned to Seller
ORD000115,CUST00020,2026-03-15,2101.6,Clothing,Net Banking,Delivered
ORD000116,CUST00020,2026-08-20,25656.54,Electronics,Credit Card,Delivered
ORD000117,CUST00020,2026-01-01,1065.0,Clothing,UPI,Delivered
ORD000118,CUST00020,2026-02-20,2212.58,Footwear,Net Banking,Delivered
ORD000119,CUST00020,2026-04-22,16666.55,Electronics,UPI,Delivered
ORD000120,CUST00020,2026-05-25,4249.69,Sports,Debit Card,Delivered
ORD000121,CUST00020,2026-02-04,3663.4,Footwear,UPI,Cancelled
ORD000122,CUST00021,2026-07-09,3020.62,Clothing,Credit Card,Delivered
ORD000123,CUST00021,2026-02-04,439.91,Books,Debit Card,Delivered
ORD000124,CUST00021,2026-01-11,12370.94,Electronics,UPI,Delivered
ORD000125,CUST00021,2026-01-19,1182.98,Books,Net Banking,Delivered
ORD000126,CUST00022,2026-03-07,519.09,Accessories,COD,Delivered
ORD000127,CUST00022,2026-08-28,3650.26,Home & Kitchen,UPI,Delivered
ORD000128,CUST00022,2026-04-09,55000.0,Electronics,UPI,Delivered
ORD000129,CUST00022,2026-03-31,635.06,Accessories,Wallet,Delivered
ORD000130,CUST00022,2026-05-13,12097.04,Electronics,Debit Card,In Transit
ORD000131,CUST00022,2026-08-21,272.59,Books,COD,Delivered
ORD000132,CUST00022,2026-03-08,697.44,Accessories,UPI,Delivered
ORD000133,CUST00022,2026-06-24,1857.4,Sports,Credit Card,Delivered
ORD000134,CUST00023,2026-07-20,711.52,Books,Credit Card,Delivered
ORD000135,CUST00023,2026-07-13,5462.56,Footwear,Wallet,Delivered
ORD000136,CUST00023,2026-06-09,378.46,Books,UPI,Delivered
ORD000137,CUST00024,2026-05-09,1111.1,Accessories,Net Banking,Delivered
ORD000138,CUST00024,2026-06-23,737.69,Clothing,Debit Card,Delivered
ORD000139,CUST00024,2026-02-12,1481.89,Accessories,UPI,Delivered
ORD000140,CUST00024,2026-03-12,15142.67,Electronics,Debit Card,Delivered
ORD000141,CUST00024,2026-06-14,1104.67,Clothing,UPI,Delivered
ORD000142,CUST00025,2026-06-03,1606.32,Clothing,Debit Card,Delivered
ORD000143,CUST00025,2026-08-03,5509.13,Home & Kitchen,Debit Card,Delivered
ORD000144,CUST00025,2026-01-16,738.95,Sports,Debit Card,Returned to Seller
ORD000145,CUST00025,2026-06-21,3801.34,Footwear,UPI,Delivered
ORD000146,CUST00025,2026-01-23,1531.43,Clothing,Debit Card,Delivered
ORD000147,CUST00026,2026-02-22,4615.96,Home & Kitchen,Credit Card,Delivered
ORD000148,CUST00026,2026-03-04,2775.46,Footwear,UPI,Delivered
ORD000149,CUST00026,2026-03-31,19050.94,Electronics,Debit Card,Delivered
ORD000150,CUST00026,2026-05-23,3077.12,Home & Kitchen,Credit Card,Cancelled
ORD000151,CUST00026,2026-01-22,456.46,Books,UPI,Delivered
ORD000152,CUST00027,2026-07-20,903.73,Beauty,Wallet,Delivered
ORD000153,CUST00027,2026-08-23,2222.54,Clothing,UPI,Delivered
ORD000154,CUST00027,2026-07-20,7316.73,Electronics,Credit Card,In Transit
ORD000155,CUST00027,2026-07-05,6981.12,Electronics,UPI,Delivered
ORD000156,CUST00027,2026-08-30,819.8,Beauty,Debit Card,Delivered
ORD000157,CUST00027,2026-07-14,1811.21,Clothing,COD,Delivered
ORD000158,CUST00027,2026-07-22,1080.05,Accessories,Debit Card,Cancelled
ORD000159,CUST00027,2026-08-26,14526.95,Electronics,COD,Delivered
ORD000160,CUST00027,2026-07-28,872.1,Accessories,UPI,Cancelled
ORD000161,CUST00027,2026-07-20,1968.91,Clothing,UPI,Delivered
ORD000162,CUST00027,2026-07-17,3506.95,Clothing,UPI,Delivered
ORD000163,CUST00027,2026-08-21,1539.01,Footwear,UPI,Delivered
ORD000164,CUST00027,2026-07-12,1939.63,Clothing,COD,Delivered
ORD000165,CUST00027,2026-07-22,2101.11,Footwear,Debit Card,Delivered
ORD000166,CUST00027,2026-07-13,13264.27,Electronics,UPI,Delivered
ORD000167,CUST00027,2026-08-06,486.61,Beauty,Wallet,In Transit
ORD000168,CUST00027,2026-07-01,6620.42,Footwear,COD,Delivered
ORD000169,CUST00028,2026-05-10,987.25,Accessories,Debit Card,Delivered
ORD000170,CUST00028,2026-04-08,1187.49,Beauty,Wallet,Delivered
ORD000171,CUST00028,2026-03-08,19950.31,Electronics,Wallet,Delivered
ORD000172,CUST00029,2026-04-22,15923.91,Electronics,Credit Card,Delivered
ORD000173,CUST00029,2026-07-02,2748.64,Footwear,Wallet,Returned to Seller
ORD000174,CUST00029,2026-03-08,27434.85,Electronics,Credit Card,Delivered
ORD000175,CUST00029,2026-02-17,1362.74,Clothing,Debit Card,Delivered
ORD000176,CUST00029,2026-06-14,3227.24,Clothing,Credit Card,Delivered
ORD000177,CUST00029,2026-03-27,13707.35,Electronics,Credit Card,Delivered
ORD000178,CUST00029,2026-06-08,3059.21,Home & Kitchen,Wallet,Delivered
ORD000179,CUST00030,2026-05-12,3120.46,Clothing,Wallet,Delivered
ORD000180,CUST00030,2026-08-29,21770.48,Electronics,UPI,In Transit
ORD000181,CUST00030,2026-05-12,9324.67,Home & Kitchen,Debit Card,Delivered
ORD000182,CUST00030,2026-03-27,33241.31,Electronics,Debit Card,Delivered
ORD000183,CUST00030,2026-08-31,958.75,Accessories,UPI,Delivered
ORD000184,CUST00030,2026-03-29,1425.25,Clothing,COD,In Transit
ORD000185,CUST00030,2026-08-05,2644.77,Sports,UPI,In Transit
ORD000186,CUST00031,2026-02-21,788.07,Books,Debit Card,Delivered
ORD000187,CUST00031,2026-06-01,1148.94,Clothing,COD,Delivered
ORD000188,CUST00031,2026-01-11,1024.68,Accessories,Credit Card,Delivered
ORD000189,CUST00031,2026-07-15,3422.22,Footwear,Credit Card,Delivered
ORD000190,CUST00031,2026-07-16,3331.18,Sports,UPI,Delivered
ORD000191,CUST00031,2026-02-10,1571.61,Clothing,Credit Card,Delivered
ORD000192,CUST00032,2026-01-06,16472.69,Electronics,Net Banking,Delivered
ORD000193,CUST00032,2026-07-02,409.36,Books,UPI,Delivered
ORD000194,CUST00032,2026-02-12,3234.13,Clothing,Credit Card,Delivered
ORD000195,CUST00033,2026-03-02,1280.58,Sports,Net Banking,Delivered
ORD000196,CUST00033,2026-01-07,1729.65,Clothing,UPI,Delivered
ORD000197,CUST00033,2026-02-11,1303.0,Clothing,COD,Delivered
ORD000198,CUST00033,2026-04-30,2102.99,Footwear,COD,Delivered
ORD000199,CUST00033,2026-02-19,376.37,Books,Credit Card,Delivered
ORD000200,CUST00033,2026-08-11,4903.51,Footwear,UPI,Delivered
ORD000201,CUST00034,2026-06-02,13394.08,Electronics,Debit Card,Delivered
ORD000202,CUST00034,2026-08-31,2478.25,Clothing,Net Banking,Delivered
ORD000203,CUST00034,2026-03-31,728.43,Clothing,Debit Card,Delivered
ORD000204,CUST00034,2026-03-25,1306.32,Accessories,Credit Card,Delivered
ORD000205,CUST00034,2026-06-10,8150.14,Electronics,Debit Card,Delivered
ORD000206,CUST00034,2026-07-03,815.16,Beauty,Wallet,Delivered
ORD000207,CUST00034,2026-07-17,1909.39,Clothing,COD,Delivered
ORD000208,CUST00034,2026-07-29,2055.69,Beauty,UPI,Delivered
ORD000209,CUST00034,2026-05-30,6091.58,Home & Kitchen,Credit Card,Delivered
ORD000210,CUST00035,2026-03-30,868.11,Beauty,COD,Cancelled
ORD000211,CUST00035,2026-06-27,754.65,Beauty,Wallet,Delivered
ORD000212,CUST00035,2026-02-20,3392.12,Home & Kitchen,UPI,In Transit
ORD000213,CUST00036,2026-03-02,20734.44,Electronics,Credit Card,Cancelled
ORD000214,CUST00036,2026-02-24,1918.86,Clothing,COD,Delivered
ORD000215,CUST00036,2026-07-11,3317.58,Footwear,Wallet,Delivered
ORD000216,CUST00036,2026-01-06,5936.76,Home & Kitchen,Wallet,Delivered
ORD000217,CUST00036,2026-02-19,1991.01,Clothing,Credit Card,Delivered
ORD000218,CUST00036,2026-02-25,4354.65,Footwear,Net Banking,Delivered
ORD000219,CUST00037,2026-05-12,2312.62,Clothing,Debit Card,Delivered
ORD000220,CUST00037,2026-07-20,709.71,Accessories,UPI,Delivered
ORD000221,CUST00037,2026-08-09,3216.51,Sports,Net Banking,Delivered
ORD000222,CUST00037,2026-06-11,12961.68,Electronics,Wallet,Delivered
ORD000223,CUST00038,2026-07-18,1356.12,Clothing,UPI,Delivered
ORD000224,CUST00038,2026-06-17,4454.53,Home & Kitchen,UPI,Cancelled
ORD000225,CUST00038,2026-04-30,2178.73,Accessories,UPI,Delivered
ORD000226,CUST00038,2026-03-19,39852.47,Electronics,UPI,Delivered
ORD000227,CUST00038,2026-02-14,2816.47,Clothing,Net Banking,Delivered
ORD000228,CUST00038,2026-07-24,1685.35,Footwear,COD,Returned to Seller
ORD000229,CUST00038,2026-07-06,6579.96,Electronics,UPI,Delivered
ORD000230,CUST00038,2026-06-30,4843.32,Electronics,Debit Card,Delivered
ORD000231,CUST00038,2026-04-13,1409.44,Sports,Credit Card,Delivered
ORD000232,CUST00038,2026-03-01,873.77,Accessories,UPI,Cancelled
ORD000233,CUST00038,2026-06-10,2353.02,Clothing,Debit Card,Delivered
ORD000234,CUST00038,2026-08-03,262.12,Books,Credit Card,Delivered
ORD000235,CUST00038,2026-03-05,1960.65,Sports,Wallet,Delivered
ORD000236,CUST00039,2026-08-20,10417.01,Home & Kitchen,UPI,Cancelled
ORD000237,CUST00039,2026-08-09,12917.11,Electronics,Credit Card,Delivered
ORD000238,CUST00039,2026-06-14,3793.0,Sports,Wallet,Delivered
ORD000239,CUST00040,2026-07-21,17014.92,Electronics,Net Banking,Delivered
ORD000240,CUST00040,2026-05-14,637.44,Beauty,Debit Card,Delivered
ORD000241,CUST00040,2026-01-13,1436.66,Beauty,Credit Card,Delivered
ORD000242,CUST00040,2026-01-08,2532.73,Footwear,UPI,Cancelled
ORD000243,CUST00040,2026-01-27,129.46,Books,Credit Card,Delivered
ORD000244,CUST00041,2026-02-16,1195.57,Beauty,COD,Delivered
ORD000245,CUST00041,2026-08-12,645.33,Accessories,UPI,Delivered
ORD000246,CUST00041,2026-01-08,3283.02,Sports,UPI,Returned to Seller
ORD000247,CUST00041,2026-01-12,805.6,Accessories,Debit Card,Delivered
ORD000248,CUST00041,2026-07-16,609.92,Accessories,UPI,Delivered
ORD000249,CUST00041,2026-07-28,10358.3,Home & Kitchen,Debit Card,Delivered
ORD000250,CUST00041,2026-08-29,2667.74,Accessories,Debit Card,Delivered
ORD000251,CUST00042,2026-07-16,11069.94,Electronics,Wallet,Delivered
ORD000252,CUST00042,2026-07-12,2760.45,Clothing,COD,Returned to Seller
ORD000253,CUST00042,2026-07-13,2367.28,Clothing,Debit Card,Delivered
ORD000254,CUST00042,2026-07-13,1629.19,Clothing,Credit Card,Delivered
ORD000255,CUST00042,2026-07-04,852.85,Accessories,COD,Delivered
ORD000256,CUST00042,2026-07-16,12839.2,Electronics,COD,Delivered
ORD000257,CUST00042,2026-06-28,6715.56,Electronics,COD,Delivered
ORD000258,CUST00042,2026-07-24,36312.02,Electronics,UPI,Delivered
ORD000259,CUST00042,2026-07-02,12461.31,Electronics,COD,Cancelled
ORD000260,CUST00042,2026-08-14,2983.13,Footwear,Net Banking,Delivered
ORD000261,CUST00042,2026-06-26,32593.94,Electronics,UPI,Delivered
ORD000262,CUST00042,2026-06-22,2412.78,Accessories,Net Banking,Delivered
ORD000263,CUST00042,2026-08-12,1961.22,Clothing,COD,Delivered
ORD000264,CUST00042,2026-07-10,1081.87,Footwear,Net Banking,Delivered
ORD000265,CUST00042,2026-08-27,4887.12,Footwear,Debit Card,Delivered
ORD000266,CUST00043,2026-05-13,6000.0,Clothing,UPI,Returned to Seller
ORD000267,CUST00043,2026-07-04,1483.74,Clothing,Credit Card,Delivered
ORD000268,CUST00043,2026-03-09,1423.17,Clothing,Credit Card,Delivered
ORD000269,CUST00043,2026-04-20,1493.37,Clothing,Debit Card,Delivered
ORD000270,CUST00044,2026-03-30,2548.24,Footwear,Debit Card,Delivered
ORD000271,CUST00044,2026-07-15,1265.72,Accessories,Credit Card,Delivered
ORD000272,CUST00044,2026-06-30,355.86,Books,Credit Card,Delivered
ORD000273,CUST00044,2026-06-10,2045.18,Sports,Wallet,Delivered
ORD000274,CUST00045,2026-03-29,4120.64,Footwear,UPI,Delivered
ORD000275,CUST00045,2026-03-15,1831.02,Beauty,COD,Delivered
ORD000276,CUST00045,2026-07-18,9565.89,Electronics,Credit Card,Delivered
ORD000277,CUST00045,2026-04-24,1158.22,Clothing,Credit Card,Delivered
ORD000278,CUST00045,2026-07-02,2158.42,Sports,Credit Card,Delivered
ORD000279,CUST00046,2026-07-05,1807.25,Sports,Credit Card,Returned to Seller
ORD000280,CUST00046,2026-07-08,5723.45,Clothing,Credit Card,Delivered
ORD000281,CUST00046,2026-07-08,1922.15,Clothing,COD,Delivered
ORD000282,CUST00046,2026-07-18,1309.55,Sports,COD,Returned to Seller
ORD000283,CUST00046,2026-07-16,2243.88,Home & Kitchen,COD,Delivered
ORD000284,CUST00046,2026-08-04,2371.44,Clothing,Credit Card,Returned to Seller
ORD000285,CUST00046,2026-08-04,55000.0,Electronics,Wallet,Delivered
ORD000286,CUST00046,2026-08-17,4789.37,Home & Kitchen,COD,Delivered
ORD000287,CUST00046,2026-05-20,551.52,Books,Net Banking,Delivered
ORD000288,CUST00047,2026-07-23,528.57,Books,UPI,Delivered
ORD000289,CUST00047,2026-01-04,2917.84,Footwear,COD,Delivered
ORD000290,CUST00047,2026-06-12,2201.84,Accessories,Credit Card,Delivered
ORD000291,CUST00047,2026-01-01,646.23,Accessories,UPI,Delivered
ORD000292,CUST00048,2026-07-31,3232.06,Beauty,Debit Card,Delivered
ORD000293,CUST00048,2026-08-02,337.71,Accessories,Wallet,Returned to Seller
ORD000294,CUST00048,2026-08-16,1676.01,Clothing,Credit Card,Delivered
ORD000295,CUST00048,2026-08-11,1693.44,Accessories,UPI,Delivered
ORD000296,CUST00048,2026-07-20,1584.62,Clothing,UPI,Delivered
ORD000297,CUST00048,2026-07-27,2562.09,Sports,UPI,Delivered
ORD000298,CUST00048,2026-08-21,400.0,Sports,UPI,Delivered
ORD000299,CUST00048,2026-08-09,2806.81,Footwear,UPI,Delivered
ORD000300,CUST00048,2026-07-27,1635.77,Footwear,Credit Card,Delivered
ORD000301,CUST00048,2026-07-22,13353.04,Electronics,Wallet,Delivered
ORD000302,CUST00048,2026-07-28,24976.97,Electronics,Wallet,Delivered
ORD000303,CUST00048,2026-08-20,1383.05,Accessories,Credit Card,Delivered
ORD000304,CUST00048,2026-07-25,1951.87,Clothing,Wallet,Delivered
ORD000305,CUST00048,2026-08-17,3534.18,Home & Kitchen,Debit Card,Delivered
ORD000306,CUST00048,2026-08-03,1290.53,Clothing,Credit Card,Delivered
ORD000307,CUST00049,2026-06-26,1634.42,Clothing,Debit Card,Delivered
ORD000308,CUST00049,2026-08-30,5241.2,Sports,UPI,Delivered
ORD000309,CUST00049,2026-07-30,14031.95,Electronics,UPI,Delivered
ORD000310,CUST00049,2026-06-17,1565.48,Clothing,UPI,Delivered
ORD000311,CUST00050,2026-02-19,1665.73,Clothing,Net Banking,Delivered
ORD000312,CUST00050,2026-08-31,282.58,Books,Debit Card,Delivered
ORD000313,CUST00050,2026-01-10,953.09,Beauty,Credit Card,Delivered
ORD000314,CUST00050,2026-04-27,939.2,Accessories,UPI,Delivered
ORD000315,CUST00051,2026-08-03,2561.62,Sports,Credit Card,Delivered
ORD000316,CUST00051,2026-08-09,3034.57,Clothing,Credit Card,Delivered
ORD000317,CUST00051,2026-07-24,13094.31,Electronics,UPI,Delivered
ORD000318,CUST00051,2026-08-04,5055.23,Home & Kitchen,Debit Card,Delivered
ORD000319,CUST00051,2026-08-15,737.33,Beauty,UPI,Delivered
ORD000320,CUST00051,2026-07-30,1228.53,Beauty,Debit Card,Delivered
ORD000321,CUST00051,2026-08-30,6634.79,Home & Kitchen,COD,In Transit
ORD000322,CUST00051,2026-07-26,16868.46,Electronics,COD,Delivered
ORD000323,CUST00051,2026-08-30,1089.29,Footwear,UPI,Delivered
ORD000324,CUST00051,2026-08-25,1293.56,Accessories,COD,Delivered
ORD000325,CUST00051,2026-08-13,1371.14,Accessories,Debit Card,Delivered
ORD000326,CUST00051,2026-08-23,12894.07,Electronics,COD,Delivered
ORD000327,CUST00051,2026-08-15,2518.81,Footwear,UPI,Delivered
ORD000328,CUST00051,2026-08-09,948.87,Accessories,Credit Card,Delivered
ORD000329,CUST00051,2026-08-14,3759.21,Home & Kitchen,UPI,Delivered
ORD000330,CUST00051,2026-08-27,3064.97,Clothing,UPI,Delivered
ORD000331,CUST00051,2026-07-26,3531.18,Home & Kitchen,Debit Card,Delivered
ORD000332,CUST00051,2026-08-18,28848.77,Electronics,UPI,Delivered
ORD000333,CUST00051,2026-08-07,9926.21,Electronics,UPI,Delivered
ORD000334,CUST00051,2026-08-03,6000.0,Clothing,Net Banking,Delivered
ORD000335,CUST00051,2026-08-06,2825.36,Clothing,Wallet,Delivered
ORD000336,CUST00052,2026-06-24,1539.9,Beauty,Debit Card,Delivered
ORD000337,CUST00052,2026-06-24,4177.17,Sports,Credit Card,Delivered
ORD000338,CUST00052,2026-06-29,3106.1,Clothing,Debit Card,Delivered
ORD000339,CUST00052,2026-07-03,2274.61,Clothing,Wallet,Cancelled
ORD000340,CUST00052,2026-06-28,16824.46,Electronics,Credit Card,Delivered
ORD000341,CUST00052,2026-06-26,14983.35,Electronics,Debit Card,Delivered
ORD000342,CUST00052,2026-06-26,5818.74,Home & Kitchen,Debit Card,Delivered
ORD000343,CUST00052,2026-06-30,2517.11,Footwear,UPI,Delivered
ORD000344,CUST00052,2026-06-27,3399.38,Clothing,UPI,Returned to Seller
ORD000345,CUST00052,2026-08-12,27704.89,Electronics,UPI,Delivered
ORD000346,CUST00052,2026-08-15,707.38,Clothing,Debit Card,Delivered
ORD000347,CUST00052,2026-06-19,16696.55,Electronics,Debit Card,Delivered
ORD000348,CUST00052,2026-07-08,15291.29,Electronics,UPI,Delivered
ORD000349,CUST00052,2026-07-18,1756.66,Home & Kitchen,Credit Card,Delivered
ORD000350,CUST00052,2026-07-28,1193.41,Beauty,Net Banking,Delivered
ORD000351,CUST00052,2026-08-04,598.62,Books,Debit Card,Delivered
ORD000352,CUST00053,2026-03-22,2850.6,Sports,COD,Delivered
ORD000353,CUST00053,2026-07-28,3181.51,Home & Kitchen,UPI,Delivered
ORD000354,CUST00053,2026-07-10,922.04,Clothing,Credit Card,Delivered
ORD000355,CUST00053,2026-08-21,18262.06,Electronics,COD,Returned to Seller
ORD000356,CUST00053,2026-06-17,2921.68,Clothing,Debit Card,Delivered
