device_id,device_type,first_seen,linked_accounts
DEV00149,Tablet,2025-12-29,2
DEV00150,Mobile Browser,2025-06-20,5
DEV00151,Desktop Browser,2025-12-04,3
DEV00152,Desktop Browser,2025-12-28,3
DEV00153,Mobile App,2025-08-01,3
DEV00154,Mobile Browser,2026-08-08,1
DEV00155,Desktop Browser,2025-08-15,1
DEV00156,Mobile Browser,2025-03-16,1
DEV00157,Mobile Browser,2025-11-08,1
DEV00158,Mobile Browser,2026-04-13,1
DEV00159,Mobile App,2025-12-14,1
DEV00160,Desktop Browser,2026-06-17,1
DEV00161,Mobile Browser,2025-07-10,1
DEV00162,Desktop Browser,2025-07-10,1
DEV00163,Mobile Browser,2025-03-30,1
DEV00164,Mobile App,2025-03-04,1
DEV00165,Mobile Browser,2025-10-23,1
DEV00166,Desktop Browser,2026-08-16,1
DEV00167,Mobile App,2026-05-20,1
DEV00168,Mobile Browser,2025-10-16,1
DEV00169,Tablet,2026-03-24,1
DEV00170,Mobile App,2025-05-04,1
DEV00171,Mobile Browser,2025-12-26,1
DEV00172,Mobile App,2025-07-30,1
DEV00173,Mobile Browser,2026-01-23,1
DEV00174,Mobile App,2025-08-10,1
DEV00175,Mobile Browser,2026-03-02,1
DEV00176,Mobile Browser,2025-09-15,1
DEV00177,Desktop Browser,2025-12-21,1
DEV00178,Mobile App,2025-10-25,1
DEV00179,Desktop Browser,2025-03-06,1
DEV00180,Mobile App,2026-05-27,1
DEV00181,Tablet,2026-03-21,1
DEV00182,Mobile Browser,2025-06-26,1
DEV00183,Mobile Browser,2025-03-12,1
DEV00184,Tablet,2025-12-19,1
DEV00185,Mobile Browser,2025-05-17,1
DEV00186,Mobile App,2025-05-16,1
DEV00187,Mobile Browser,2025-05-21,1
DEV00188,Mobile App,2025-09-25,1
DEV00189,Mobile Browser,2026-08-04,1
DEV00190,Mobile App,2026-06-08,1
DEV00191,Mobile Browser,2026-07-03,1
DEV00192,Desktop Browser,2026-02-22,1
DEV00193,Mobile App,2025-04-22,1
DEV00194,Desktop Browser,2025-09-20,1
DEV00195,Mobile App,2025-03-02,1
DEV00196,Mobile App,2025-04-27,1
DEV00197,Mobile App,2026-07-06,1
DEV00198,Mobile Browser,2025-05-14,1
DEV00199,Desktop Browser,2026-03-06,1
DEV00200,Mobile App,2025-12-29,1
DEV00201,Tablet,2025-08-11,1
DEV00202,Desktop Browser,2026-03-10,1
DEV00203,Mobile App,2025-11-09,1
DEV00204,Desktop Browser,2025-09-07,1
DEV00205,Desktop Browser,2026-03-10,1
DEV00206,Mobile Browser,2026-08-13,1
DEV00207,Mobile Browser,2026-06-18,1
DEV00208,Mobile App,2026-03-17,1
DEV00209,Mobile App,2025-06-01,1
DEV00210,Mobile App,2026-06-11,1
DEV00211,Desktop Browser,2025-07-11,1
DEV00212,Mobile App,2026-01-08,1
DEV00213,Mobile App,2026-08-02,1
DEV00214,Tablet,2025-11-23,1
DEV00215,Tablet,2026-06-17,1
DEV00216,Mobile App,2026-06-17,1
DEV00217,Mobile App,2025-09-09,1
DEV00218,Mobile App,2025-06-22,1
DEV00219,Mobile App,2025-04-24,1
DEV00220,Mobile Browser,2025-11-27,1
DEV00221,Desktop Browser,2026-02-25,1
DEV00222,Mobile App,2025-09-25,1
DEV00223,Mobile Browser,2025-09-02,1
DEV00224,Mobile App,2026-06-07,1
DEV00225,Tablet,2025-08-18,1
DEV00226,Mobile Browser,2026-08-12,1
DEV00227,Desktop Browser,2025-03-27,1
DEV00228,Desktop Browser,2026-04-12,1
DEV00229,Mobile App,2025-05-13,1
DEV00230,Desktop Browser,2025-11-17,1
DEV00231,Mobile App,2025-10-23,1
DEV00232,Mobile Browser,2025-12-11,1
DEV00233,Desktop Browser,2026-03-11,1
DEV00234,Mobile Browser,2025-05-15,1
DEV00235,Mobile Browser,2025-12-15,1
DEV00236,Desktop Browser,2026-03-24,1
DEV00237,Mobile App,2025-03-08,1
DEV00238,Mobile App,2026-02-07,1
DEV00239,Desktop Browser,2026-03-10,1
DEV00240,Mobile Browser,2025-09-09,1
DEV00241,Mobile App,2026-02-20,1
DEV00242,Mobile App,2026-04-26,1
DEV00243,Mobile Browser,2026-03-15,1
DEV00244,Desktop Browser,2026-05-05,1
DEV00245,Desktop Browser,2025-06-29,1
DEV00246,Mobile App,2026-04-20,1
DEV00247,Desktop Browser,2026-01-31,1
DEV00248,Mobile Browser,2025-08-20,1
DEV00249,Mobile App,2025-05-03,1
DEV00250,Mobile App,2025-05-05,1
DEV00251,Mobile App,2026-06-01,1
DEV00252,Mobile Browser,2025-11-14,1
DEV00253,Mobile App,2026-04-30,1
DEV00254,Desktop Browser,2025-08-25,1
DEV00255,Mobile App,2026-02-07,1
DEV00256,Desktop Browser,2025-09-18,1
DEV00257,Mobile Browser,2025-09-10,1
DEV00258,Mobile App,2025-04-04,1
DEV00259,Tablet,2025-10-07,1
DEV00260,Mobile Browser,2026-02-16,1
DEV00261,Mobile Browser,2026-07-07,1
DEV00262,Desktop Browser,2025-06-25,1
DEV00263,Mobile App,2025-08-22,1
DEV00264,Mobile App,2025-12-20,1
DEV00265,Mobile App,2026-07-31,1
DEV00266,Tablet,2025-04-05,1
DEV00267,Mobile Browser,2025-10-19,1
DEV00268,Mobile App,2026-07-10,1
DEV00269,Mobile App,2025-04-13,1
DEV00270,Mobile Browser,2026-06-13,1
DEV00271,Mobile App,2026-05-28,1
DEV00272,Mobile App,2026-01-27,1
DEV00273,Mobile App,2026-06-13,1
DEV00274,Desktop Browser,2026-03-11,1
DEV00275,Mobile Browser,2026-04-18,1
DEV00276,Tablet,2026-04-08,1
DEV00277,Desktop Browser,2026-04-01,1
DEV00278,Mobile Browser,2026-07-18,1
DEV00279,Mobile App,2025-03-13,1
DEV00280,Mobile App,2025-10-10,1
DEV00281,Mobile Browser,2026-03-20,1
DEV00282,Mobile App,2025-10-27,1
DEV00283,Mobile Browser,2025-09-11,1
DEV00284,Desktop Browser,2025-12-31,1
DEV00285,Mobile App,2026-04-14,1
DEV00286,Tablet,2026-05-26,1
DEV00287,Mobile App,2026-07-08,1
DEV00288,Mobile App,2026-03-08,1
DEV00289,Desktop Browser,2026-03-11,1
DEV00290,Mobile App,2025-07-20,1
DEV00291,Mobile Browser,2025-04-15,1
DEV00292,Mobile App,2025-10-24,1
DEV00293,Desktop Browser,2026-08-12,1
DEV00294,Mobile Browser,2025-08-25,1
DEV00295,Desktop Browser,2026-01-01,1
DEV00296,Mobile Browser,2026-02-19,1
DEV00297,Mobile App,2025-12-25,1
DEV00298,Mobile App,2025-12-10,1
DEV00299,Desktop Browser,2026-03-13,1
DEV00300,Desktop Browser,2026-08-20,1
DEV00301,Mobile Browser,2025-04-29,1
DEV00302,Desktop Browser,2025-05-14,1
DEV00303,Mobile App,2026-05-22,1
DEV00304,Mobile App,2025-11-30,1
DEV00305,Mobile App,2025-10-01,1
DEV00306,Desktop Browser,2026-01-23,1
DEV00307,Desktop Browser,2025-07-04,1
DEV00308,Mobile App,2026-01-18,1
DEV00309,Desktop Browser,2025-10-03,1
DEV00310,Mobile App,2025-12-23,1
DEV00311,Desktop Browser,2026-01-28,1
DEV00312,Desktop Browser,2025-09-15,1
DEV00313,Mobile App,2025-10-28,1
DEV00314,Mobile Browser,2025-10-13,1
DEV00315,Mobile App,2026-05-25,1
DEV00316,Mobile Browser,2025-09-20,1
DEV00317,Mobile Browser,2025-11-12,1
DEV00318,Mobile Browser,2025-03-09,1
DEV00319,Tablet,2025-09-17,1
DEV00320,Mobile Browser,2026-03-28,1
DEV00321,Mobile App,2026-04-03,1
DEV00322,Mobile App,2025-11-22,1
DEV00323,Mobile App,2026-06-23,1
DEV00324,Mobile App,2026-02-18,1
DEV00325,Desktop Browser,2025-06-15,1
DEV00326,Mobile Browser,2025-07-25,1
DEV00327,Tablet,2025-09-26,1
DEV00328,Tablet,2025-06-11,1
DEV00329,Mobile Browser,2026-07-21,1
DEV00330,Mobile App,2025-09-25,1
DEV00331,Mobile App,2026-03-28,1
DEV00332,Mobile App,2025-06-17,1
DEV00333,Mobile Browser,2025-04-19,1
DEV00334,Mobile App,2026-04-24,1
DEV00335,Mobile App,2025-11-28,1
DEV00336,Mobile Browser,2026-02-03,1
DEV00337,Desktop Browser,2026-08-26,1
DEV00338,Mobile Browser,2026-08-24,1
DEV00339,Mobile App,2026-01-10,1
DEV00340,Mobile App,2025-11-16,1
DEV00341,Desktop Browser,2026-01-15,1
DEV00342,Mobile App,2025-10-08,1
DEV00343,Mobile App,2026-06-05,1
DEV00344,Desktop Browser,2025-09-18,1
DEV00345,Desktop Browser,2025-10-20,1
DEV00346,Tablet,2026-07-11,1
DEV00347,Tablet,2026-07-17,1
DEV00348,Mobile App,2026-08-21,1
DEV00349,Mobile Browser,2025-08-12,1
DEV00350,Mobile App,2025-05-29,1
DEV00351,Desktop Browser,2025-10-14,1
DEV00352,Mobile App,2026-02-12,1
DEV00353,Mobile App,2025-11-01,1
DEV00354,Mobile Browser,2026-04-07,1
DEV00355,Mobile App,2026-05-09,1
DEV00356,Desktop Browser,2025-08-19,1
DEV00357,Desktop Browser,2025-04-25,1
DEV00358,Mobile Browser,2025-12-09,1
DEV00359,Mobile Browser,2025-12-03,1
DEV00360,Mobile Browser,2025-11-24,1
DEV00361,Mobile App,2026-07-16,1
DEV00362,Desktop Browser,2026-01-14,1
DEV00363,Mobile App,2025-04-20,1
DEV00364,Mobile App,2025-08-21,1
DEV00365,Mobile Browser,2026-07-14,1
DEV00366,Mobile App,2026-01-10,1
DEV00367,Desktop Browser,2025-05-20,1
DEV00368,Mobile Browser,2025-05-10,1
DEV00369,Mobile App,2025-05-10,1
DEV00370,Mobile App,2026-04-26,1
DEV00371,Mobile App,2025-07-08,1
DEV00372,Tablet,2026-07-18,1
DEV00373,Tablet,2025-10-30,1
DEV00374,Mobile App,2025-06-11,1
DEV00375,Mobile Browser,2026-08-31,1
DEV00376,Mobile Browser,2026-01-27,1
DEV00377,Mobile Browser,2025-06-15,1
DEV00378,Mobile Browser,2026-08-12,1
DEV00379,Mobile App,2025-12-13,1
DEV00380,Mobile Browser,2026-06-04,1
DEV00381,Desktop Browser,2026-06-02,1
DEV00382,Mobile App,2025-09-10,1
DEV00383,Tablet,2025-06-12,1
DEV00384,Tablet,2026-01-19,1
DEV00385,Mobile Browser,2025-07-19,1
DEV00386,Mobile App,2025-05-02,1
DEV00387,Tablet,2025-12-29,1
DEV00388,Mobile App,2026-01-28,1
DEV00389,Mobile App,2026-04-15,1
DEV00390,Mobile App,2025-05-19,1
DEV00391,Mobile App,2025-05-16,1
DEV00392,Mobile App,2026-08-22,1
DEV00393,Mobile App,2026-07-22,1
DEV00394,Mobile Browser,2025-08-22,1
DEV00395,Desktop Browser,2025-10-31,1
DEV00396,Mobile App,2025-04-01,1
DEV00397,Desktop Browser,2026-01-04,1
DEV00398,Mobile App,2025-04-25,1
DEV00399,Mobile Browser,2026-06-07,1
DEV00400,Mobile Browser,2025-11-04,1
DEV00401,Mobile Browser,2025-05-17,1
DEV00402,Mobile Browser,2025-11-28,1
DEV00403,Desktop Browser,2025-03-15,1
DEV00404,Desktop Browser,2025-09-21,1
DEV00405,Mobile App,2025-11-08,1
DEV00406,Mobile App,2025-10-13,1
DEV00407,Tablet,2026-02-17,1
DEV00408,Mobile App,2026-04-24,1
DEV00409,Mobile App,2025-08-08,1
DEV00410,Mobile App,2025-07-29,1
DEV00411,Mobile App,2026-06-14,1
DEV00412,Mobile Browser,2025-03-30,1
DEV00413,Mobile App,2025-05-19,1
DEV00414,Mobile App,2026-01-31,1
DEV00415,Mobile Browser,2025-12-05,1
DEV00416,Mobile App,2026-01-29,1
DEV00417,Desktop Browser,2025-05-07,1
DEV00418,Mobile Browser,2026-03-21,1
DEV00419,Tablet,2025-06-02,1
DEV00420,Mobile App,2025-04-16,1
DEV00421,Desktop Browser,2026-03-11,1
DEV00422,Desktop Browser,2025-09-18,1
DEV00423,Mobile App,2025-12-22,1
DEV00424,Mobile Browser,2026-07-06,1
DEV00425,Mobile App,2025-05-05,1
DEV00426,Mobile Browser,2026-08-22,1
DEV00427,Tablet,2026-07-06,1
DEV00428,Tablet,2026-01-11,1
DEV00429,Desktop Browser,2025-05-14,1
DEV00430,Tablet,2025-04-28,1
DEV00431,Mobile App,2025-10-17,1
DEV00432,Mobile App,2025-09-15,1
DEV00433,Mobile Browser,2025-04-04,1
DEV00434,Desktop Browser,2026-06-14,1
DEV00435,Mobile Browser,2026-04-27,1
DEV00436,Desktop Browser,2025-07-25,1
DEV00437,Mobile App,2026-04-20,1
DEV00438,Desktop Browser,2025-11-11,1
DEV00439,Desktop Browser,2025-06-11,1
DEV00440,Desktop Browser,2026-02-13,1
DEV00441,Mobile App,2026-03-02,1
DEV00442,Mobile App,2025-03-14,1
DEV00443,Mobile App,2026-06-28,1
DEV00444,Mobile Browser,2025-12-20,1
DEV00445,Desktop Browser,2026-08-30,1
DEV00446,Mobile Browser,2025-03-14,1
DEV00447,Mobile App,2025-08-06,1
DEV00448,Desktop Browser,2025-05-22,1
DEV00449,Mobile App,2025-03-22,1
DEV00450,Mobile App,2026-05-30,1
DEV00451,Desktop Browser,2025-11-22,1
DEV00452,Mobile App,2025-06-28,1
DEV00453,Mobile Browser,2025-04-07,1
DEV00454,Desktop Browser,2025-06-18,1
DEV00455,Mobile Browser,2026-04-14,1
DEV00456,Mobile App,2025-03-08,1
DEV00457,Tablet,2025-12-15,1
DEV00458,Mobile Browser,2026-02-24,1
DEV00459,Mobile Browser,2025-10-05,1
DEV00460,Mobile Browser,2025-10-06,1
DEV00461,Mobile Browser,2025-12-11,1
DEV00462,Mobile App,2025-09-05,1
DEV00463,Mobile App,2026-01-15,1
DEV00464,Mobile Browser,2026-02-09,1
DEV00465,Mobile App,2025-12-27,1
DEV00466,Mobile Browser,2026-04-23,1
DEV00467,Mobile Browser,2026-01-01,1
DEV00468,Mobile App,2025-05-16,1
DEV00469,Desktop Browser,2025-12-01,1
DEV00470,Tablet,2025-12-15,1
DEV00471,Desktop Browser,2026-01-04,1
DEV00472,Tablet,2026-03-24,1
DEV00473,Mobile Browser,2025-08-30,1
DEV00474,Tablet,2025-05-11,1
DEV00475,Mobile App,2025-08-20,1
DEV00476,Mobile App,2026-06-11,1
DEV00477,Mobile App,2026-07-16,1
DEV00478,Mobile App,2025-08-12,1
DEV00479,Mobile Browser,2026-07-31,1
DEV00480,Desktop Browser,2026-05-13,1
DEV00481,Tablet,2025-11-18,1
DEV00482,Mobile Browser,2025-10-11,1
DEV00483,Mobile App,2026-01-30,1
DEV00484,Tablet,2025-03-24,1
DEV00485,Desktop Browser,2025-07-20,1
DEV00486,Desktop Browser,2025-05-20,1
DEV00487,Desktop Browser,2026-06-08,1
DEV00488,Mobile App,2025-04-08,1
DEV00489,Mobile Browser,2025-07-02,1
DEV00490,Desktop Browser,2025-12-08,1
DEV00491,Mobile App,2025-06-05,1
DEV00492,Desktop Browser,2026-05-21,1
DEV00493,Mobile App,2026-06-27,1
DEV00494,Mobile Browser,2025-06-24,1
DEV00495,Mobile App,2026-01-22,1
DEV00496,Mobile App,2026-01-07,1
DEV00497,Mobile Browser,2025-07-26,1
DEV00498,Mobile Browser,2025-03-23,1
DEV00499,Desktop Browser,2025-10-08,1
DEV00500,Mobile App,2025-05-17,1
DEV00501,Mobile Browser,2025-10-27,1
DEV00502,Mobile Browser,2026-05-28,1
DEV00503,Mobile App,2025-12-02,1
DEV00504,Mobile App,2025-03-27,1
DEV00505,Mobile App,2026-06-07,1
DEV00506,Mobile App,2026-02-26,1
DEV00507,Mobile Browser,2026-08-07,1
DEV00508,Mobile Browser,2025-09-10,1
DEV00509,Mobile App,2025-10-16,1
DEV00510,Mobile App,2025-08-31,1
DEV00511,Mobile App,2025-04-10,1
DEV00512,Mobile Browser,2025-11-15,1
DEV00513,Mobile App,2025-05-23,1
DEV00514,Mobile App,2026-08-01,1
DEV00515,Mobile Browser,2026-05-12,1
DEV00516,Mobile App,2025-08-19,1
DEV00517,Desktop Browser,2026-08-21,1
DEV00518,Mobile App,2026-01-02,1
DEV00519,Desktop Browser,2026-08-12,1
DEV00520,Mobile Browser,2025-04-22,1
DEV00521,Mobile Browser,2025-04-21,1
DEV00522,Desktop Browser,2025-03-28,1
DEV00523,Desktop Browser,2026-08-29,1
DEV00524,Mobile App,2026-06-09,1
DEV00525,Desktop Browser,2026-03-14,1
DEV00526,Mobile Browser,2025-08-24,1
DEV00527,Desktop Browser,2026-03-20,1
DEV00528,Desktop Browser,2025-03-08,1
DEV00529,Desktop Browser,2026-05-24,1
DEV00530,Mobile Browser,2026-05-31,1
DEV00531,Desktop Browser,2025-06-02,1
DEV00532,Mobile Browser,2026-05-11,1
DEV00533,Tablet,2026-03-13,1
DEV00534,Desktop Browser,2025-04-08,1
DEV00535,Tablet,2025-07-13,1
DEV00536,Mobile App,2025-04-08,1
DEV00537,Desktop Browser,2025-04-16,1
DEV00538,Mobile App,2025-06-03,1
DEV00539,Desktop Browser,2026-08-07,1
DEV00540,Mobile App,2026-03-03,1
DEV00541,Tablet,2026-08-02,1
DEV00542,Mobile Browser,2025-08-28,1
DEV00543,Mobile App,2025-08-02,1
DEV00544,Mobile Browser,2026-05-09,1
DEV00545,Tablet,2026-03-07,1
DEV00546,Mobile App,2025-06-20,1
DEV00547,Mobile Browser,2025-08-16,1
DEV00548,Mobile App,2025-10-17,1
DEV00549,Mobile App,2025-11-08,1
DEV00550,Mobile App,2026-04-26,1
DEV00551,Mobile App,2025-11-18,1
DEV00552,Tablet,2025-05-16,1
DEV00553,Mobile App,2025-08-04,1
DEV00554,Mobile App,2025-08-08,1
DEV00555,Mobile App,2026-08-17,1
DEV00556,Mobile Browser,2026-02-20,1
DEV00557,Mobile App,2025-03-02,1
DEV00558,Mobile App,2025-11-06,1
DEV00559,Mobile App,2025-06-16,1
DEV00560,Desktop Browser,2025-12-18,1
DEV00561,Tablet,2025-08-22,1
DEV00562,Desktop Browser,2026-05-18,1
DEV00563,Tablet,2025-05-22,1
DEV00564,Desktop Browser,2025-05-04,1
DEV00565,Mobile Browser,2026-03-26,1
DEV00566,Tablet,2025-06-15,1
DEV00567,Desktop Browser,2025-11-17,1
DEV00568,Desktop Browser,2025-11-20,1
DEV00569,Mobile Browser,2025-08-02,1
DEV00570,Mobile App,2026-07-11,1
DEV00571,Desktop Browser,2025-10-31,1
DEV00572,Mobile App,2026-02-17,1
DEV00573,Mobile App,2026-03-21,1
DEV00574,Mobile Browser,2026-04-18,1
DEV00575,Desktop Browser,2026-02-19,1
DEV00576,Desktop Browser,2025-03-16,1
DEV00577,Mobile App,2026-01-15,1
DEV00578,Mobile App,2025-07-26,1
DEV00579,Mobile Browser,2025-06-13,1
DEV00580,Mobile Browser,2026-03-31,1
DEV00581,Desktop Browser,2025-10-06,1
DEV00582,Mobile App,2026-05-16,1
DEV00583,Mobile Browser,2025-03-28,1
DEV00584,Desktop Browser,2025-12-30,1
DEV00585,Mobile App,2026-07-26,1
DEV00586,Mobile App,2025-10-26,1
DEV00587,Desktop Browser,2026-01-31,1
DEV00588,Mobile App,2026-04-13,1
DEV00589,Mobile Browser,2025-10-03,1
DEV00590,Mobile App,2025-03-23,1
DEV00591,Mobile App,2026-01-04,1
DEV00592,Mobile Browser,2026-04-19,1
DEV00593,Mobile Browser,2026-01-27,1
DEV00594,Tablet,2026-05-24,1
DEV00595,Mobile App,2025-11-02,1
DEV00596,Mobile App,2025-03-28,1
DEV00597,Mobile Browser,2025-11-26,1
DEV00598,Mobile App,2026-07-24,1
DEV00599,Mobile Browser,2026-05-28,1
DEV00600,Mobile Browser,2026-01-11,1
DEV00601,Mobile App,2026-02-01,1
DEV00602,Mobile Browser,2026-02-14,1
DEV00603,Mobile App,2026-07-05,1
DEV00604,Mobile App,2025-03-09,1
DEV00605,Mobile App,2026-05-14,1
DEV00606,Mobile App,2025-06-16,1
DEV00607,Mobile Browser,2025-04-02,1
DEV00608,Mobile Browser,2025-04-18,1
DEV00609,Mobile Browser,2026-01-30,1
DEV00610,Mobile Browser,2025-06-30,1
DEV00611,Mobile App,2026-02-09,1
DEV00612,Mobile App,2026-03-12,1
DEV00613,Desktop Browser,2025-07-24,1
DEV00614,Mobile App,2026-04-12,1
DEV00615,Desktop Browser,2025-06-19,1
DEV00616,Mobile Browser,2025-04-19,1
DEV00617,Mobile App,2026-02-06,1
DEV00618,Mobile App,2026-01-08,1
DEV00619,Tablet,2025-08-11,1
DEV00620,Mobile App,2025-03-16,1
DEV00621,Desktop Browser,2026-02-09,1
DEV00622,Mobile Browser,2025-12-12,1
DEV00623,Desktop Browser,2025-05-07,1
DEV00624,Mobile Browser,2026-03-14,1
DEV00625,Mobile App,2026-04-13,1
DEV00626,Desktop Browser,2025-06-10,1
DEV00627,Mobile App,2026-04-26,1
DEV00628,Mobile App,2026-06-21,1
DEV00629,Tablet,2025-12-16,1
DEV00630,Mobile App,2025-05-17,1
DEV00631,Desktop Browser,2026-05-15,1
DEV00632,Desktop Browser,2025-12-19,1
DEV00633,Mobile App,2025-05-31,1
DEV00634,Mobile App,2025-03-06,1
DEV00635,Desktop Browser,2025-11-26,1
